Common Name,Scientific Name,Plant Type,Light Requirements,Water Needs,Height Min (ft),Height Max (ft),Height Range Group(s),Spread Min (ft),Spread Max (ft),Standardized Ecoregions,Description,Countries,Season of Interest,Duration
Buckbrush,Ceanothus cuneatus,Shrub,Full Sun,Low,5,12,"5–7 ft, 7–10 ft, 10–15 ft",5,12,11.1 - Mediterranean California,"This hardy evergreen shrub has small blue-green leaves and tiny fragrant white flowers that bloom in early to mid-summer. Its stiff, fleshy leaves contribute to its resilience, while its nitrogen-fixing ablility enhances soil health.",United States,,Perennial
White Alder,Alnus rhombifolia,Tree,"Full Sun, Partial Sun","Average, High",50,80,50+ ft,40,60,11.1 - Mediterranean California,"This tree has distinctive diamond-shaped leaves and provides habitat for various bird species. With its tolerance for wet conditions, it's a suitable choice for landscapes near water bodies. It supports over 200 caterpillar species.",United States,,Perennial
Southern Wax Myrtle,Myrica ceifera,"Tree, Shrub","Full Sun, Partial Sun","Average, High",10,15,"10–15 ft, 15–20 ft",8,10,15.4 - Everglades,"This evergreen plant has fragrant, leathery leaves and small, grayish berries. Its dense foliage provides privacy screening and windbreaks, and it can also be pruned into a hedge.",United States,,Perennial
Cranberry ,Vaccinium macrocarpon,Shrub,Full Sun,Average,0.167,0.5,< 1 ft,1,6,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 7.1 - Marine West Coast Forests (Lower 48), 7.1 - Marine West Coast Forests (Alaska), 7.1 - Marine West Coast Forests (Canada), 8.1 - Mixed Wood Plains (Canada), 8.1 - Mixed Wood Plains (USA)","This low growing shrub has pink-white tiny flowers that appear in late spring to early summer and give way to red cranberries that ripen in mid fall. Small glossy leather leaves are bronze in spring, dark green in summer, and copper or purple in winter.","United States, Canada",,Perennial
Northern Highbush Blueberry,Vaccinium coymbosum,Shrub,"Full Sun, Partial Sun","Average, High",6,12,"5–7 ft, 7–10 ft, 10–15 ft",8,12,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (Canada), 8.5 - Mississippi Alluvial & SE USA Coastal Plains, 15.4 - Everglades","This popular fruit-bearing shrub offers both ornamental beauty and delicious blueberries for the garden. Its attractive white to pink flowers bloom in spring, followed by an abundant harvest of flavorful blueberries.","United States, Canada",,Perennial
Hillside Blueberry,Vaccinium pallidum,Shrub,"Full Sun, Partial Sun","Low, Average",1,3,"1–2 ft, 2–3 ft, 3–4 ft",2,3,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.4 - Ozark/Ouachita-Appalachian Forests, ",This bush has small green oval leaves that turn scarlet or crimson in fall. Tiny pink flowers appear in mid to late spring that attract bumblebees and hummingbird moths. Blossoms give way to edible bue-black berries that ripen in summer.,"United States, Canada",,Perennial
Pitch Pine,Pinus rigida,Tree,Full Sun,"Low, Average",40,60,"30–50 ft, 50+ ft",30,50,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains","This evergreen tree boasts long, sturdy needles and dense branches, making it a visually appealing and resilient choice for gardens. With its unique bark and year-round greenery, it adds texture and interest to the landscape. ","United States, Canada",,Perennial
Bear Oak,Quercus ilicifolia,Tree,Full Sun,Low,12,20,"10–15 ft, 15–20 ft, 20–30 ft",8,16,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.4 - Ozark/Ouachita-Appalachian Forests, 8.3 - SE USA Plains, 8.5 - Mississippi Alluvial & SE USA Coastal Plains","The gnarled oak has small, leathery leaves that turn fiery orange to purplish red in the fall. It produces small acorns that are a favorite of wildlife in additio to supporting many insects.","United States, Canada",,Perennial
Goodding's Willow,Salix gooddingii,Tree,Full Sun,"Average, High",15,40,"15–20 ft, 20–30 ft, 30–50 ft",25,25,"10.2 - Warm Deserts, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains, 11.1 - Mediterranean California, ","This versatile shrub or small tree has lance-shaped leaves and narrow catkins. It excels in erosion control, making it an invaluable choice for landscapes near water bodies or flood-prone regions.",United States,,Perennial
Sand Laurel Oak,Quercus hemisphaerica,Tree,"Full Sun, Partial Sun",Low,40,60,"30–50 ft, 50+ ft",30,40,"8.5 - Mississippi Alluvial & SE USA Coastal Plains, 15.4 - Everglades","This resilient and fast-growing tree is known for thriving in sandy or well-drained soils and has leathery leaves. While relatively short-lived, it remains valuable as a food source for birds, mammals, and insects. ***Toxic to horses***",United States,,Perennial
Gumbo-Limbo,Bursera simaruba,Tree,"Full Sun, Partial Sun","Low, Average, High",24,40,"20–30 ft, 30–50 ft",25,30,15.4 - Everglades,"This tropical tree has distinctive coppery-red, peeling bark and it forms a dense canopy of pinnate leaves with a feathery appearance. It is an adaptable and drought-tolerant tree resistant to harsh weather conditions.",United States,,Perennial
Blackjack Oak,Quercus marilandica,Tree,Partial Sun,Low,30,60,"30–50 ft, 50+ ft",20,40,"8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains,","This rugged tree has dark, deeply furrowed bark and leathery leaves. It thrives in various soil types and is drought resistant.",United States,,Perennial
Dwarf Chinkapin Oak,Quercus prinoides,"Tree, Shrub","Partial Sun, Shade",Low,13,20,"10–15 ft, 15–20 ft, 20–30 ft",10,15,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This oak known for its small size thrives in poor, dry soils and shade. It is an excellent choice to support wildlife with limited space.",United States,,Perennial
River Birch,Betula nigra,Tree,"Full Sun, Partial Sun","Average, High",40,70,"30–50 ft, 50+ ft",40,60,"8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This tree has peeling salmon pink bark, tiny springtime yellow-brown male flowers and green female flowers, and diamond shaped glossy green leaves. It is also not attractive to deer.",United States,,Perennial
Deerbrush,Ceanothus integerrimus,Shrub,Full Sun,Low,3,13,"3–4 ft, 4–5 ft, 5–7 ft, 7–10 ft, 10–15 ft",5,7,"11.1 - Mediterranean California, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains, ","This versatile shrub has glossy green leaves up to 3 inches long. Fragrant white, blue, or pink flowers at the tips of twigs bloom in late spring to mid-summer and attract pollinators, while its nitrogen-fixing characteristics enhance soil health.",United States,,Perennial
Black Spruce,Picea mariana,Tree,Full Sun,Average,30,50,"30-50 ft, 50+ft",20,30,"3.1 - Alaska Boreal Interior, 3.2 - Taiga Cordillera, 5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 6.1 - Boreal Cordillera, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada)","This low maintenance evergreen conifer has a slender, conical shape with a spiraling crown. It produces small, egg-shaped cones that persist on the tree for years.","United States, Canada",,Perennial
Saskatoon Serviceberry,Amelanchier alnifolia,"Shrub, Tree","Full Sun, Partial Sun",Average,10,15,10-15 ft,10,15,"6.2 - Western Cordillera, 7.1 - Marine West Coast Forests (Lower 48), 9.3 - West-Central Semi-Arid Prairies, 10.1 - Cold Deserts","This versatile shrub to small tree has fragrant spring blossoms, edible berries, and attractive foliage. The berries are a purplish-blue color and make delicious jams and jellies.",United States,,Perennial
White Spruce,Picea glauca,Tree,Full Sun,Average,50,70,50+ ft,10,20,"3.1 - Alaska Boreal Interior, 3.2 - Taiga Cordillera, 5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 6.1 - Boreal Cordillera, 8.1 - Mixed Wood Plains (Canada)",This popular evergreen tree is prized for its conical shape and the blue-green needles remain vibrant throughout the year. This highly adaptable tree is often used as a Christmas tree.,"United States, Canada",,Perennial
Western Columbine,Aquilegia formosa,"Flower, Container Friendly","Full Sun, Partial Sun",Average,1,3,"1-2 ft, 2-3 ft",N/A,N/A,"7.1 - Marine West Coast Forests (Lower 48), 7.1 - Marine West Coast Forests (Alaska), 11.1 - Mediterranean California","This showy, red flower is loved by hummingbirds and butterflies while being ignored by deer. Needs well draining soil. Deadhead to prevent seeding.",United States,,Perennial
Cascade Penstemon,Penstemon serrulatus,"Flower, Container Friendly",Full Sun,"Average, High",1,2,1-2 ft,N/A,N/A,7.1 - Marine West Coast Forests (Lower 48),"This plant is semi-evergreen with purple, trumpet-like, blossoms that are attractive to bees. Flowers should be deadheaded when spent to prevent seeding.",United States,,Perennial
Desert Marigold,Baileya multiradiata,"Flower, Container Friendly",Full Sun,Low,1,2,"1–2 ft, 2–3 ft",N/A,N/A,"10.2 - Warm Deserts, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This deer and drought-resistant plant can bear 20-50 flowers per year. While a short-lived perennial, it self-seeds under favorable conditions.",United States,Spring through Fall,Short-Lived Perennial
Maryland Golden-Aster,Chrysopsis mariana,"Flower, Container Friendly","Full Sun, Partial Sun","Low, Average",1,3,"1–2 ft, 2–3 ft, 3–4 ft",N/A,N/A,"8.3 - SE USA Plains, 8.5 - Mississippi Alluvial & SE USA Coastal Plains","This plant produces showy, yellow flowers in the summer and red-brown seed heads in the fall. It is low maintenance and not affected by any spurious pests or diseases.",United States,Late Summer through Fall,Perennial
Cobweb Thistle,Cirsium occidentale,"Flower, Container Friendly","Full Sun, Partial Sun",Low,2,5,"2–3 ft, 3–4 ft, 4–5 ft, 5–7 ft",N/A,N/A,11.1 - Mediterranean California,"This striking thistle produces large rose-purple flowers and is covered in a lacey, white hair. The flowers attract numerous pollinators.",United States,"Spring, Summer, Fall, Winter",Perennial
